phrase_english,phrase_portuguese,topic_portuguese
Be careful driving.,Cuidado ao dirigir,Expressões comuns
Can you translate this for me?,Você pode me traduzir isso?,Expressões comuns
Chicago is very different from Boston.,Chicago é bem diferente de Boston.,Expressões comuns
Don't worry.,Não se preocupe.,Expressões comuns
Everyone knows it.,Todo mundo sabe isso.,Expressões comuns
Everything is ready.,Está tudo pronto.,Expressões comuns
Excellent.,Excelente.,Expressões comuns
From time to time.,De tempos em tempos,Expressões comuns
Good idea.,Boa ideia,Expressões comuns
He likes it very much.,Ele gosta muito.,Expressões comuns
Help!,Socorro!,Expressões comuns
He's coming soon.,Ele volta logo,Expressões comuns
He's right.,Ele está certo.,Expressões comuns
He's very annoying.,Ele está aborrecido.,Expressões comuns
He's very famous.,Ele é muito famoso.,Expressões comuns
How are you?,Como vai você?,Expressões comuns
How's work going?,Como vai o trabalho?,Expressões comuns
Hurry!,Depressa!,Expressões comuns
I ate already.,Eu já comí.,Expressões comuns
I can't hear you.,Eu não te ouço.,Expressões comuns
I'd like to go for a walk.,Eu gostaria de ir caminhar.,Expressões comuns
I don't know how to use it.,Eu não sei como usar isto.,Expressões comuns
I don't like him.,Eu não gosto dele.,Expressões comuns
I don't like it.,Eu não gosto.,Expressões comuns
I don't speak very well.,Eu não falo muito bem.,Expressões comuns
I don't understand.,Eu não entendo.,Expressões comuns
I don't want it.,Eu não quero.,Expressões comuns
I don't want that.,Eu não quero isso.,Expressões comuns
I don't want to bother you.,Eu não quero te incomodar.,Expressões comuns
I feel good.,Eu me sinto bem.,Expressões comuns
"If you need my help, please let me know.","Se você precisa de minha ajuda, por favor me diga.",Expressões comuns
I get off of work at 6.,Eu saio do trabalho às 6.,Expressões comuns
I have a headache.,Eu tenho dor de cabeça.,Expressões comuns
I hope you and your wife have a nice trip.,Eu espero que você e tua esposa tenham uma boa viagem.,Expressões comuns
I know.,Eu sei.,Expressões comuns
I like her.,Eu gosto dela.,Expressões comuns
I'll call you when I leave.,Eu te ligo quando sair.,Expressões comuns
I'll come back later.,Eu volto mais tarde.,Expressões comuns
11 dollars.,11 dólares,Numeros e dinheiro
52 cents.,52 centavos,Numeros e dinheiro
A few.,Poucos,Numeros e dinheiro
A little.,Pouco/um pouco,Numeros e dinheiro
About 300 kilometers.,Mais ou menos 300 quilometros,Viagens e direções
A one way ticket.,Passagem só de ida,Viagens e direções
A round trip ticket.,Passagem ida e volta,Viagens e direções
Are you going to help her?,Você vai ajudá-la?,Viagens e direções
At what time?,A que horas?,Viagens e direções
Call the police.,Chame a polícia,Numeros e dinheiro
Can I make an appointment for next Wednesday?,Posso marcar a consulta para a próxima quarta-feira?,Viagens e direções
Can you repeat that please?,Você poderia repetir por favor?,Viagens e direções
Can I speak to Mrs. Smith please?,Posso falar com a Sra. Smith por favor?,Viagens e direções
Can you repeat that please?,Você poderia repetir por favor?,Viagens e direções
Can you translate this for me?,Você pode me traduzir isso?,Expressões comuns
Certainly!,Certamente!,Cumprimentos
Chicago is very different from Boston.,Chicagoé bem diferente de Boston.,Expressões comuns
Chega (é o suficiente),That's enough.,Numeros e dinheiro
Did your wife like California?,Sua esposa gostou da Califórnia?,Numeros e dinheiro
Do you have any coffee?,Você tem café?,Numeros e dinheiro
Do you have anything cheaper?,Você tem algo mais barato?,Numeros e dinheiro
Do you know how to cook?,Você sabe cozinhar?,Viagens e direções
Do you know what this says?,Você sabe o que isso diz?,Viagens e direções
Do you want me to come and pick you up?,Você quer que eu venha te pegar?,Viagens e direções
Does this road go to New York?,Esta estrada vai para Nova Iorque?,Viagens e direções
Don't worry.,Não se preocupe.,Expressões comuns
Do you take credit cards?,Você aceita cartão de crédito?,Numeros e dinheiro
Can you help me with my homework?,Você pode me ajudar com meu dever de casa?,Família e amigos
Did you get my email?,Você recebeu meu e-mail?,Família e amigos
Do you have any brothers or sisters?,Você tem irmãos ou irmãs?,Família e amigos
Do you want to come to my house?,Você quer vir para a minha casa?,Família e amigos
Have you met my brother?,Você conheceu meu irmão?,Família e amigos
He's my friend.,Ele é meu amigo.,Família e amigos
I have to study.,Eu tenho que estudar.,Família e amigos
I like her a lot.,Eu gosto muito dela.,Família e amigos
I'm going to visit my family.,Eu vou visitar minha família.,Família e amigos
She's my sister.,Ela é minha irmã.,Família e amigos
Can I have a glass of water please?,Posso ter um copo de água por favor?,Comida e bebida
Can we have the bill please?,Podemos ter a conta por favor?,Comida e bebida
Do you have any vegetarian dishes?,Você tem pratos vegetarianos?,Comida e bebida
Do you want something to drink?,Você quer beber algo?,Comida e bebida
I am a vegetarian.,Eu sou vegetariano/a.,Comida e bebida
I am allergic to peanuts.,Eu sou alérgico a amendoim.,Comida e bebida
I don't eat meat.,Eu não como carne.,Comida e bebida
I would like a beer please.,Eu gostaria de uma cerveja por favor.,Comida e bebida
The food was delicious.,A comida estava deliciosa.,Comida e bebida
What do you recommend?,O que você recomenda?,Comida e bebida
Do you need a taxi?,Você precisa de um táxi?,Viagem
"Excuse me, where is the train station?","Com licença, onde fica a estação de trem?",Viagem
How much is a ticket to Paris?,Quanto custa uma passagem para Paris?,Viagem
I need to book a flight.,Eu preciso reservar um voo.,Viagem
Is this the right bus for the airport?,Esse é o ônibus certo para o aeroporto?,Viagem
The train is delayed.,O trem está atrasado.,Viagem
What time is the next bus?,Que horas é o próximo ônibus?,Viagem
Where can I buy a ticket?,Onde posso comprar uma passagem?,Viagem
Where is the nearest hotel?,Onde fica o hotel mais próximo?,Viagem
Would you like a window or an aisle seat?,Você gostaria de um assento na janela ou no corredor?,Viagem
11 dollars.,11 dólares,Numeros e dinheiro
52 cents.,52 centavos,Numeros e dinheiro
A few.,Poucos,Numeros e dinheiro
A little.,Pouco/um pouco,Numeros e dinheiro
Call the police.,Chame a polícia,Numeros e dinheiro
Did your wife like California?,Sua esposa gostou da Califórnia?,Numeros e dinheiro
Do you have any coffee?,Você tem café?,Numeros e dinheiro
Do you have anything cheaper?,Você tem algo mais barato?,Numeros e dinheiro
Do you take credit cards?,Você aceita cartão de crédito?,Numeros e dinheiro
How are you paying?,Como você vai pagar?,Numeros e dinheiro
How many people are there in New York?,Quantas pessoas tem em Nova Iorque,Numeros e dinheiro
How much are these earrings?,Quanto custam estes brincos?,Numeros e dinheiro
How much does it cost per day?,Quanto custa por dia?,Numeros e dinheiro
How much does this cost?,Quanto custa isto?,Numeros e dinheiro
How much do I owe you?,Quanto eu te devo?,Numeros e dinheiro
How much is it to go to Miami?,Quanto custa para ir a Miami?,Numeros e dinheiro
How much money do you make?,Quanto dinheiro você ganha?,Numeros e dinheiro
I'd like to eat at 5th street restaurant.,Eu gostaria de comer no restaurante da quinta rua.,Numeros e dinheiro
I don't have a girlfriend.,Eu não tenho namorada.,Numeros e dinheiro
I don't have any money,Eu não tenho dinheiro,Números e dinheiro
I have a reservation,Eu tenho uma reserva,Números e dinheiro
I'll have the same thing,Eu quero a mesma coisa,Números e dinheiro
I'll pay for dinner,Eu pagarei o jantar,Números e dinheiro
I'll pay for the tickets,Eu pagarei os ingressos,Números e dinheiro
I'm 26 years old,Eu tenho 26 anos,Números e dinheiro
I need to practice my English,Eu preciso praticar meu inglês,Números e dinheiro
Isn't it?,Não é?,Números e dinheiro
Is that ok?,Está OK?,Números e dinheiro
Is there any mail for me?,Tem alguma correspondência pra mim?,Números e dinheiro
It's 11:30pm,São 23h30,Números e dinheiro
It's is a quarter past nine,São nove e quinze,Números e dinheiro
Please come in,"Por favor, entre",Números e dinheiro
"Sorry, we don't accept credit cards","Desculpe, nós não aceitamos cartão de crédito",Números e dinheiro
"Sorry, we only accept Cash","Desculpe, nós só aceitamos em dinheiro",Números e dinheiro
That restaurant is not expensive,Aquele restaurante não é caro,Números e dinheiro
That's too expensive,Isso é muito caro,Números e dinheiro
There are many people here,Tem muita gente aqui,Números e dinheiro
They charge 26 dollars per day,Eles cobram 26 dólares por dia,Números e dinheiro
What's the exchange rate for dollars?,Qual é a taxa de conversão para o dólar?,Números e dinheiro
What's the phone number?,Qual é o número do telefone?,Localização
Where can I buy tickets?,Onde posso comprar os ingressos?,Localização
Where would you like to meet?,Onde você gostaria de se encontrar?,Localização
Which one is better?,Qual deles/delas é melhor?,Localização
Across from the post office,Do outro lado do correio,Localização
At 3 o'clock,Às três horas,Localização
Be quiet,Fique quieto,Localização
Can you recommend a good restaurant?,Você poderia recomendar um bom restaurante?,Localização
Here it is,Aqui está,Localização
Here you are,Aqui está,Localização
He's in the kitchen,Ele está na cozinha,Localização
He studies at Boston University,Ele estuda na Universidade de Boston,Localização
How far is it?,Quanto longe?,Localização
How far is it to Chicago?,Quão longe é Chicago?,Localização
How many miles is it to Pennsylvania?,Quantas milhas são até Pensilvânia?,Localização
I'd like a single room,Eu queria um quarto de solteiro,Localização
I like to watch TV,Eu gosto de assistir TV,Localização
It's delicious!,Está delicioso,Localização
It's half past 11,São onze e meia,Localização
It's less than 5 dollars,É menos de 5 dólares,Localização
It's more than 5 dollars,É mais que 5 dólares,Localização
It's near the Supermarket,É perto do supermercado,Localização
It's ok.,Está OK.,Localização
It's on 7th street.,É na Sétima Rua.,Localização
It's really hot.,Está bem calor.,Localização
It's suppose to rain tomorrow.,É pra chover amanhã.,Localização
I was going to the library.,Eu estava indo à biblioteca.,Localização
I was in the library.,Eu estava na biblioteca.,Localização
Let's go.,Vamos.,Localização
Maybe.,Pode ser/Talvez.,Localização
More than 200 miles.,Mais de 200 milhas,Localização
My house is close to the bank.,Minha casa fica perto do banco.,Localização
Near the bank.,Perto do banco.,Localização
On the left.,À esquerda.,Localização
On the right.,À direita.,Localização
On the second floor.,No segundo andar.,Localização
Outside the hotel.,Fora do hotel.,Localização
Over here.,Por aqui/Cá,Localização
Over there.,Por alí/Lá,Localização
The book is behind the table.,O livro está atrás da mesa.,Localização
The book is in front of the table.,O livro está na frente da mesa.,Localização
The book is near the table.,O livro está perto da mesa.,Localização
The book is next to the table.,O livro está ao lado da mesa.,Localização
The book is on top of the table.,O livro está no topo da mesa.,Localização
There are some books on the table.,Tem alguns livros na mesa.,Localização
There's a book under the table.,Tem um livro sob a mesa.,Localização
We're from California.,Nós somos da Califórnia.,Localização
What's the address?,Qual é o endereço?,Localização
Where are you going?,Onde você está indo?,Localização
Where is it?,Onde está?,Localização
Where would you like to go?,Onde você gostaria de ir?,Localização
Who won?,Quem ganhou?,Localização
Can I see your passport please?,Posso ver teu passaporte por favor?,Telefone/internet/correio
Can I take a message?,Quer deixar uma mensagem?,Telefone/internet/correio
Can I try it on?,Posso experimentar?,Telefone/internet/correio
Can we sit over there?,Podemos nos sentar aqui?,Telefone/internet/correio
Did you come with your family?,Você veio com sua família?,Telefone/internet/correio
Do you think it's possible?,Você acha que é possível?,Telefone/internet/correio
Here's my number.,Aqui está meu telefone,Telefone/internet/correio
He's not in right now.,Ele não está agora,Telefone/internet/correio
"I'd like some water too, please","Eu também queria um pouco de água, por favor",Telefone/internet/correio
"I'd like to buy a bottle of water, please","Eu queria comprar uma garrafa de água, por favor",Telefone/internet/correio
I'd like to buy something.,Eu queria comprar alguma coisa.,Telefone/internet/correio
I'd like to go to the store,Eu gostaria de ir à loja,Telefone/internet/correio
I'd like to rent a car,Eu gostaria de alugar um carro,Telefone/internet/correio
I'd like to send a fax,Eu gostaria de enviar um fax,Telefone/internet/correio
I'd like to send this to America,Eu gostaria de enviar isto à América,Telefone/internet/correio
I'd like to speak to Mr. Smith please,"Eu gostaria de falar com o Sr. Smith, por favor",Telefone/internet/correio
"I have three children, two girls and one boy","Eu tenho três filhos, duas meninas e um menino",Telefone/internet/correio
I'll be right back,Eu volto logo,Telefone/internet/correio
I'll call back later,Eu ligo mais tarde,Telefone/internet/correio
I'll call you on Friday,Eu te ligo na sexta,Telefone/internet/correio
I'll teach you,Eu te ensinarei,Telefone/internet/correio
I'm ok,Estou OK,Telefone/internet/correio
I need some tissues,Eu preciso de uns lenços,Telefone/internet/correio
Is there an English speaking guide?,Tem algum guia que fale inglês?,Telefone/internet/correio
I want to give you a gift,Eu quero te dar um presente,Telefone/internet/correio
Male or female?,"Masculino ou feminino? ",Telefone/internet/correio
My cell phone doesn't have good reception,Meu celular não está com um bom sinal,Telefone/internet/correio
My cell phone doesn't work,Meu celular não funciona,Telefone/internet/correio
Please take off your shoes,Por favor tire teus sapatos,Telefone/internet/correio
"Sorry, I think I have the wrong number","Desculpe, eu acho que eu tenho o número errado",Telefone/internet/correio
11 days ago,11 dias atrás,Hora e data
2 hours,2 horas,Hora e data
A long time ago.,Há muito tempo,Hora e data
Are they coming this evening?,Eles virão esta noite?,Hora e data
Are you comfortable?,Você está confortável?,Hora e data
Are your children with you?,Teus filhos estão contigo?,Hora e data
As soon as possible.,Assim que possível.,Hora e data
At 3 o'clock in the afternoon.,Às três da tarde.,Hora e data
At 5th street.,Na quinta rua.,Hora e data
At 7 o'clock at night. (evening)?,Às sete da noite.,Hora e data
At 7 o'clock in the morning.,Às sete da manhã.,Hora e data
At what time did it happen?,A que horas aconteceu?,Hora e data
Can I help you?,Posso te ajudar?,Hora e data
Do you have a swimming pool?,Você tem piscina?,Hora e data
Do you have this in size 11?,Você tem este no tamanho 11?,Hora e data
Do you think you'll be back by 11:30?,Você acha que estará de volta até às 11:30?,Hora e data
Everyday I get up at 6AM.,Todos os dias eu acordo às 6 da manhã.,Hora e data
Every week.,Toda semana.,Hora e data
Expiration date.,Data de vencimento.,Hora e data
Have you been waiting long?,Você está esperando há muito tempo?,Hora e data
He'll be back in 20 minutes.,Ele volta em 20 minutos.,Hora e data
His family is coming tomorrow.,A família dele vem amanhã.,Hora e data
How about Saturday?,Que tal sábado?,Hora e data
How long are you going to stay?,Quanto tempo você vai ficar?,Hora e data
How long are you going to stay in California?,Quanto tempo você vai ficar na Califórnia?,Hora e data
How long will it take?,Quanto tempo vai levar?,Hora e data
How much altogether?,Quanto custa tudo junto?,Hora e data
How much will it cost?,Quanto vai custar?,Hora e data
I don't have enough money.,Eu não tenho dinheiro suficiente.,Hora e data
I'm getting ready to go out.,Eu estou me aprontando pra sair.,Hora e data
I'm just looking. (Shopping),Estou só olhando (num Shopping),Hora e data
I'm worried too.,Estou preocupado também.,Hora e data
It'll be cold this evening.,Vai fazer frio esta noite.,Hora e data
It rained very hard today.,Choveu forte hoje.,Hora e data
It's 17 dollars.,São 17 dólares.,Hora e data
It's 6AM.,São 6 da manhã,Hora e data
It's 8:45.,São 8h45.,Hora e data
It's a quarter to 7.,São quinze para as 7.,Hora e data
It's going to snow today.,Vai nevar hoje,Hora e data
It's here.,É aqui.,Hora e data
It's there.,É ali.,Hora e data
I've already seen it.,Eu já ví.,Hora e data
John is going on vacation tomorrow.,John vai sair de férias amanhã.,Hora e data
My birthday is August 27th.,Meu aniversário é dia 27 de agosto.,Hora e data
Now or later?,Agora ou mais tarde?,Hora e data
October 22nd.,22 de outubro,Hora e data
She wants to know when you're coming.,Ela quer saber quando você vem.,Hora e data
There's plenty of time.,Tem muito tempo.,Hora e data
The whole day.,O dia todo.,Hora e data
We're late.,Nós estamos atrasados.,Hora e data
What day are they coming over?,Em qual dia eles vem?,Hora e data
What day of the week is it?,Que dia da semana é hoje?,Hora e data
What is today's date?,Que dia é hoje?,Hora e data
What's your religion?,Qual é a tua religião?,Hora e data
What time are they arriving?,A que horas eles chegam?,Hora e data
What time did you get up?,A que horas você se levanta?,Hora e data
What time did you go to sleep?,A que horas você vai dormir?,Hora e data
What time did you wake up?,A que horas você acorda?,Hora e data
What time does it start?,A que horas começa?,Hora e data
What time do you think you'll arrive?,Que horas você acha que vai chegar?,Hora e data
What time is it?,Que horas são?,Hora e data
When are they coming?,Quando eles estão vindo?,Hora e data
When are you coming back?,Quando você volta?,Hora e data
When are you going to pick up your friend?,Quando você vai buscar teu/tua amigo/a?,Hora e data
When are you leaving?,Quando você parte?,Hora e data
When are you moving?,Quando você se muda?,Hora e data
When is the next bus to Philadelphia?,Quando é o próximo ônibus para a Filadélfia?,Hora e data
When is your birthday?,Quando é o teu aniversário?,Hora e data
"When I went to the store, they didn't have any apples.",Quando eu fui à loja ele não tinham nenhuma maçã.,Hora e data
When was the last time you talked to your mother?,Quando foi a última vez que você falou com tua mãe?,Hora e data
When will he be back?,Quando ele volta?,Hora e data
When will it be ready?,Quando ficará pronto?,Hora e data
Where are you going to go?,Onde você está indo?,Hora e data
Are you busy?,Você está ocupado?,No hotel
Can we have some more bread please?,Posso ter um pouco de pão por favor?,No hotel
Do you have any money?,Você tem dinheiro?,No hotel
For how many nights?,Por quantas noites?,No hotel
How long will you be staying?,Quanto tempo você vai ficar?,No hotel
I'd like a map of the city.,Eu queria um mapa da cidade.,No hotel
I'd like a non-smoking room.,Eu queria um quarto de não fumante.,No hotel
I'd like a room.,Eu queria um quarto.,No hotel
I'd like a room with two beds please.,Eu queria um quarto com duas camas por favor.,No hotel
I need a doctor.,Eu preciso de um médico.,No hotel
Is there a nightclub in town?,Tem uma casa noturna/danceteria na cidade?,No hotel
Is there a restaurant in the hotel?,Tem restaurante no hotel?,No hotel
Is there a store near here?,Tem uma loja por aqui?,No hotel
"Sorry, we don't have any vacancies.","Desculpe, nós não temos vagas.",No hotel
Take me to the Marriott Hotel.,Leve-me para o Hotel Marriott,No hotel
What's the charge per night? (Hotel),Qual é a diária? (hotel),No hotel
What time is check out?,A que horas é a saída do hotel?,No hotel
Where is the airport?,Onde fica o aerporto?,No hotel
Where's the mail box?,Onde tem uma caixa de correio?,No hotel
Are you here alone?,Você vai sozinho?,Refeições
Can I bring my friend?,Posso trazer meu amigo/minha amiga?,Refeições
Can I have a receipt please?,Posso ter o recibo por favor?,Refeições
Can it be cheaper?,Posso ter um desconto?,Refeições
Can we have a menu please.,Você pode nos trazer o carápio por favor?,Refeições
Can you hold this for me?,Você pode segurar isso para mim?,Refeições
Do you have any children?,Você tem filhos?,Refeições
Do you know how much it costs?,Você sabe quanto custa?,Refeições
Have you eaten at that restaurant?,Você já comeu num restaurante?,Refeições
Have you eaten yet?,Você já comeu?,Refeições
Have you ever had Potato soup?,Você já comeu sopa de batata?,Refeições
He likes juice but he doesn't like milk,Ele gosta de suco mas não gosta de leite.,Refeições
Here is your salad.,Aqui está sua salada,Refeições
Here's your order.,Aqui está o seu pedido,Refeições
How does it taste?,Como está o sabor?,Refeições
How many people? (restaurant),Para quantas pessoas? (restaurante),Refeições
I agree.,Eu concordo.,Refeições
I'd like a table near the window.,Eu queria uma mesa perto da janela.,Refeições
I'd like to call the United States.,Eu gostaria de ligar para os Estados Unidos.,Refeições
I haven't been there.,Eu nunca estive lá,Refeições
I haven't finished eating.,Eu não acabei de comer.,Refeições
I like it.,Eu gosto.,Refeições
I'll give you a call.,Eu te dou uma ligada.,Refeições
I'll have a cup of tea please.,Eu quero uma xícara de chá por favor.,Refeições
I'll have a glass of water please.,Eu quero um copo com água por favor.,Refeições
I'm from America.,Eu sou dos Estados Unidos.,Refeições
I'm going to bed.,Eu estou indo para a cama.,Refeições
I'm here on business.,Estou aqui a negócios.,Refeições
I'm sorry.,Lamento/Sinto muito.,Refeições
I only have 5 dollars.,Eu tenho somente 5 dólares.,Refeições
I think I need to see a doctor.,Eu acho que eu preciso ir ao médico.,Refeições
It's August 25th.,Hoje é 25 de agosto.,Refeições
I understand.,Eu entendo.,Refeições
June 3rd.,3 de junho.,Refeições
The food was delicious.,A comida estava deliciosa.,Refeições
There are some apples in the refrigerator.,Tem algumas maçãs na geladeira.,Refeições
There's a restaurant near here.,Tem um restaurante aqui perto.,Refeições
"There's a restaurant over there, but I don't think it's very good.",Tem um restaurante alí mas eu não acho que seja muito bom.,Refeições
Waiter!,Garçom!,Refeições
Waitress!,Garçonete!,Refeições
We can eat Italian or Chinese food.,Nós podemos comer comida italiana ou chinesa.,Refeições
We'll have two glasses of water please.,Nós queremos dois copos com água por favor.,Refeições
What are you going to have?,O que você vai querer?,Refeições
What do you recommend?,O que você recomenda?,Refeições
What's your email address?,Qual é o teu endereço eletrônico? (email),Refeições
What would you like to drink?,O que você gostaria de beber?,Refeições
What would you like to eat?,O que você gostaria de comer?,Refeições
Where is an ATM?,Onde tem um caixa eletrônico?,Refeições
Where is there a doctor who speaks English?,Onde tem um médico que fale inglês?,Refeições
Which one?,Qual deles?,Refeições
Would you ask him to come here?,Você pede a ele para vir aqui?,Refeições
Would you like a glass of water?,Você gostaria de um copo com água?,Refeições
Would you like coffee or tea?,Você gostaria de café ou chá?,Refeições
Would you like something to drink?,Você gostaria de algo para beber?,Refeições
Would you like some water?,Você gostaria de um pouco de água?,Refeições
Would you like some wine?,Você gostaria de um pouco de vinho?,Refeições
Would you like to go for a walk?,Você gostaria de fazer um passeio?,Refeições
Would you like to watch TV?,Você gostaria de assistir TV?,Refeições
Are you American?,Você é americano?,Fazendo amigos
Are you coming this evening?,Você vai vir hoje à noite?,Fazendo amigos
Are you free tonight?,Você está livre hoje à noite?,Fazendo amigos
Are you going to take a plane or train?,Você vai pegar um avião ou um trem?,Fazendo amigos
Are you hungry?,Você está com fome?,Fazendo amigos
Are you sure?,Você tem certeza?,Fazendo amigos
Are you working tomorrow?,Você vai trabalhar amanhã?,Fazendo amigos
Business is good.,O negócio é bom,Fazendo amigos
Cheers!,Saúde!,Fazendo amigos
Did it snow yesterday?,Nevou ontem?,Fazendo amigos
Did you get my email?,Você recebeu meu email?,Fazendo amigos
Did you take your medicine?,Você tomou seu remédio?,Fazendo amigos
Do you feel better?,Você está melhor?,Fazendo amigos
Do you go to Florida often?,Você vai frequentemente para a Flórida?,Fazendo amigos
Do you have another one?,Você tem um outro?,Fazendo amigos
Do you know where there's a store that sells towels?,Você sabe onde tem uma loja que vende toalhas?,Fazendo amigos
Do you like it here?,Você gosta daqui?,Fazendo amigos
Do you like the book?,Você gosta deste livro?,Fazendo amigos
Do you need anything?,Você precisa de alguma coisa?,Fazendo amigos
Do you play any sports?,Você pratica algum esporte?,Fazendo amigos
Do you sell medicine? (store),Você vende remédios?,Fazendo amigos
Do you study English?,Você estuda inglês?,Fazendo amigos
Do you want to come with me?,Você quer vir comigo?,Fazendo amigos
Do you want to go with me?,Você quer ir comigo?,Fazendo amigos
Excuse me.,Com licença.,Fazendo amigos
Give me a call.,Me telefona,Fazendo amigos
Has your brother been to California?,O teu irmão já foi à Califórnia?,Fazendo amigos
Have they met her yet?,Você já a encontrou?,Fazendo amigos
Have you done this before?,Você já fez isso antes?,Fazendo amigos
How long have you been here?,Há quanto tempo você está aqui?,Fazendo amigos
How long have you been in America?,Há quanto tempo você está na América?,Fazendo amigos
How long have you lived here?,Há quanto tempo você vive aqui?,Fazendo amigos
How many children do you have?,Quantos filhos você tem?,Fazendo amigos
How many languages do you speak?,Quantos idiomas você fala?,Fazendo amigos
How many people do you have in your family?,Quantas pessoas tem na tua família?,Fazendo amigos
How much would you like?,Quanto você gostaria?,Fazendo amigos
How old are you?,Quantos anos você tem?,Fazendo amigos
I bought a shirt yesterday.,Eu comprei uma camisa ontem.,Fazendo amigos
I don't feel well.,Eu não me sinto bem.,Fazendo amigos
I have pain in my arm.,Eu tenho dor no meu braço.,Fazendo amigos
I have to wash my clothes.,Eu tenho que lavar minhas roupas.,Fazendo amigos
Are you American?,Você é americano?,Fazendo amigos
I have two sisters.,Eu tenho duas irmãs.,Fazendo amigos
I'll tell him you called.,Eu direi a ele que você ligou.,Fazendo amigos
I'm 32.,Eu tenho 32.,Fazendo amigos
"I'm 6'2"".","Eu meço 6'2"" (1.87m)",Fazendo amigos
I'm allergic to seafood.,Eu sou alérgico a frutos do mar.,Fazendo amigos
I'm American.,Eu sou americano.,Fazendo amigos
I'm a size 8.,Meu tamanho é 8 (38),Fazendo amigos
"I'm fine, and you?","Eu estou bem, e você?",Fazendo amigos
I'm not afraid.,Eu não estou com medo.,Fazendo amigos
I'm sick.,Eu estou doente.,Fazendo amigos
I remember.,Eu me lembro.,Fazendo amigos
I speak a little English.,Eu falo um pouco de inglês.,Fazendo amigos
Is your house like this one?,A tua casa é como esta?,Fazendo amigos
Is your husband also from Boston?,O teu marido também é de Boston?,Fazendo amigos
It's not very expensive.,Não é muito caro.,Fazendo amigos
I've been there.,Eu já estive lá.,Fazendo amigos
Let's share.,Vamos dividir.,Fazendo amigos
My daughter is here.,Minha filha está aqui.,Fazendo amigos
My father has been there.,Meu pai já esteve lá.,Fazendo amigos
My father is a lawyer.,Meu pai é advogado.,Fazendo amigos
My grandmother passed away last year.,Meu/Minha avô/avó morreu no ano passado.,Fazendo amigos
My name is John Smith.,Meu nome é John Smith.,Fazendo amigos
My son.,Meu filho.,Fazendo amigos
My son studies computers.,Me filho estuda computação.,Fazendo amigos
"No, I'm American.","Não, eu sou americano.",Fazendo amigos
"No, this is the first time.","Não, esta é a primeira vez.",Fazendo amigos
Our children are in America.,Nossos filhos estão nos Estados Unidos.,Fazendo amigos
She's an expert.,Ela é uma especialista/perita.,Fazendo amigos
She's older than me.,Ela é mais velha que eu.,Fazendo amigos
That car is similar to my car.,Aquele carro parece o meu.,Fazendo amigos
This is Mrs. Smith.,Esta é a Sra. Smith.,Fazendo amigos
This is my mother.,Esta é a minha mãe.,Fazendo amigos
This is the first time I've been here.,Esta é a primeira vez que eu venho aqui.,Fazendo amigos
We have two boys and one girl.,Nós temos dois garotos e uma garota.,Fazendo amigos
What are you going to do tonight?,O que você vai fazer hoje à noite?,Fazendo amigos
